hour,AC,AL,AM,AP,BA,CE,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
00,2,NA,305,2,NA,11,NA,NA,180,305,6,1006,716,15,4,67,490,4,NA,99,3,230,343,NA,1597,73
01,1,NA,284,2,NA,10,NA,NA,135,443,NA,283,650,NA,1,40,150,NA,NA,108,19,198,248,NA,1324,32
02,NA,NA,355,9,NA,8,NA,NA,75,376,2,539,540,2,2,11,110,NA,NA,76,15,93,43,NA,1315,34
03,NA,NA,505,NA,NA,5,NA,NA,39,321,NA,306,402,NA,NA,5,23,NA,NA,104,2,7,2,NA,840,43
04,NA,NA,687,1,NA,13,NA,NA,2,265,1,43,455,NA,NA,NA,3,NA,NA,72,1,7,3,NA,607,59
05,NA,NA,772,NA,NA,6,NA,NA,NA,138,5,6,405,NA,NA,NA,7,NA,NA,30,5,27,2,NA,292,193
06,NA,NA,557,NA,NA,3,NA,NA,NA,143,6,3,241,NA,NA,NA,27,NA,NA,29,10,188,NA,NA,545,99
07,NA,NA,279,NA,NA,NA,NA,NA,NA,181,4,13,276,NA,NA,NA,30,NA,NA,19,4,367,NA,NA,508,92
08,NA,NA,209,NA,NA,NA,NA,NA,NA,228,14,26,243,NA,NA,NA,37,NA,NA,2,NA,1101,NA,NA,148,23
09,NA,NA,142,NA,NA,NA,NA,NA,NA,112,36,36,139,NA,NA,NA,90,NA,NA,NA,NA,1215,NA,NA,312,NA
10,NA,NA,67,NA,NA,NA,NA,NA,NA,154,10,85,65,NA,NA,NA,102,NA,NA,NA,NA,1002,NA,NA,131,NA
11,NA,NA,59,NA,139,NA,NA,NA,NA,123,4,64,55,NA,NA,NA,240,NA,NA,NA,NA,870,NA,NA,70,NA
12,NA,NA,29,NA,1065,6,NA,NA,NA,44,8,32,36,NA,NA,NA,66,NA,NA,2,NA,610,NA,NA,29,167
13,NA,NA,25,NA,NA,47,NA,NA,NA,15,109,5738,71,3,NA,NA,16,NA,1,1,NA,414,11,NA,7,928
14,NA,6,82,NA,NA,90,NA,NA,9,33,659,1070,154,2,2,11,140,NA,4,155,NA,597,155,NA,29,1
15,NA,1,197,1,NA,20,NA,46,72,112,1102,2024,384,8,7,41,434,NA,66,60,NA,1712,115,NA,182,45
16,NA,10,616,8,9,83,NA,174,387,185,2800,6457,1443,11,80,137,1318,17,69,182,1,3789,637,NA,471,7
17,NA,3,727,19,4,246,NA,168,558,526,2389,10941,3935,44,72,177,1641,185,218,602,2,4210,908,1,650,59
18,3,3,928,53,160,232,6,93,873,723,3386,11589,5666,63,148,377,2668,395,72,839,5,3936,1252,NA,719,191
19,9,1,1035,32,434,193,NA,82,1219,979,2874,9748,5624,248,75,538,2500,380,20,728,15,2578,1988,NA,1136,694
20,9,2,780,9,402,327,NA,53,1082,1479,1154,7374,5261,69,43,431,1256,314,NA,569,7,2268,1759,NA,1409,799
21,32,1,783,5,161,205,1,37,782,2034,907,6707,4651,11,77,426,1342,30,NA,436,22,1516,2955,NA,2017,714
22,24,NA,634,1,64,97,NA,NA,378,1372,317,4323,2446,23,97,402,1573,4,NA,298,34,1755,2507,NA,2215,469
23,2,NA,432,NA,5,12,NA,NA,162,529,48,2421,1369,27,30,222,793,19,NA,127,38,651,737,NA,1995,342
